scenario,profile,noise_executions,false_positive_executions,false_positive_rate_percent,wilson_ci95_low_percent,wilson_ci95_high_percent
SCENARIO_E,HIGH,3,0,0.0,0,56.15
SCENARIO_E,LOW,3,0,0.0,0,56.15
SCENARIO_E,MEDIUM,3,0,0.0,0,56.15
SCENARIO_E,ALL,9,0,0.0,0,29.92
