scenario,attack_id,mitre_ics,technique,executions,wazuh_detected,detection_rate_percent,zabbix_real_sampled_executions,zabbix_real_sampling_percent,strong_correlation_count,strong_correlation_percent,moderate_correlation_count
SCENARIO_D,T0809,T0809,Unauthorized Command Message,20,20,100.0,20,100.0,20,100.0,0
SCENARIO_D,T0814,T0814,Data Manipulation,20,20,100.0,20,100.0,20,100.0,0
SCENARIO_D,T0860,T0860,Denial of Service,20,20,100.0,20,100.0,20,100.0,0
