timestamp_utc,scenario_id,execution_id,iteration,attack_id,technique_id,source,target,event_type,severity,metric_name,metric_value,unit,zabbix_itemid,zabbix_event_id,wazuh_alert_id,correlation_window_seconds,dataset_source,raw_file,raw_row_hash
2026-05-02T19:43:05Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,attack_script,mosquitto,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,bd698998761dfd30
2026-05-02T19:43:11Z,SCENARIO_D,D-T0814-1,1,T0814,T0814,attack_script,telemetry-api,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,c242db1543f4f999
2026-05-02T19:43:18Z,SCENARIO_D,D-T0860-1,1,T0860,T0860,attack_script,vulnerable-app,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,df887ba51ce38f3d
2026-05-02T19:43:31Z,SCENARIO_D,D-T0809-2,2,T0809,T0809,attack_script,mosquitto,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,d0070d56343e25b9
2026-05-02T19:43:38Z,SCENARIO_D,D-T0814-2,2,T0814,T0814,attack_script,telemetry-api,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,6f818b45578d73b1
2026-05-02T19:43:44Z,SCENARIO_D,D-T0860-2,2,T0860,T0860,attack_script,vulnerable-app,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,2ccbcae8aac4c427
2026-05-02T19:43:58Z,SCENARIO_D,D-T0809-3,3,T0809,T0809,attack_script,mosquitto,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,ada315119a129d1b
2026-05-02T19:44:05Z,SCENARIO_D,D-T0814-3,3,T0814,T0814,attack_script,telemetry-api,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,9c74de6bb17c78f1
2026-05-02T19:44:11Z,SCENARIO_D,D-T0860-3,3,T0860,T0860,attack_script,vulnerable-app,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,3dd3b6cd28ac9e48
2026-05-02T19:44:25Z,SCENARIO_D,D-T0809-4,4,T0809,T0809,attack_script,mosquitto,attack_execution,controlled,attack_execution,1,event,,,,,mitre_ics_attacks,results/raw/scenario_d/mitre_ics_attacks.csv,4bea735fa0da2b00
