scenario,attack_id,mitre_ics,technique,executions,wazuh_detected,detection_rate_percent,zabbix_real_sampled_executions,zabbix_real_sampling_percent,strong_correlation_count,strong_correlation_percent,moderate_correlation_count
SCENARIO_D,T0809,T0809,Unauthorized Command Message,5,5,100.0,5,100.0,0,0.0,5
SCENARIO_D,T0814,T0814,Data Manipulation,5,5,100.0,5,100.0,0,0.0,5
SCENARIO_D,T0860,T0860,Denial of Service,5,5,100.0,5,100.0,0,0.0,5
