timestamp_utc,noise_uid,scenario,profile,iteration,noise_type,intensity,duration_seconds,frequency,target_services,expected_impact,start_utc,end_utc,http_urls
2026-05-03T02:56:40Z,E-LOW-13,SCENARIO_E,LOW,13,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:56:40Z,2026-05-03T02:57:10Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:57:28Z,E-LOW-14,SCENARIO_E,LOW,14,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:57:28Z,2026-05-03T02:57:58Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:58:16Z,E-LOW-15,SCENARIO_E,LOW,15,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:58:16Z,2026-05-03T02:58:46Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:59:03Z,E-LOW-16,SCENARIO_E,LOW,16,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:59:03Z,2026-05-03T02:59:33Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:59:51Z,E-LOW-17,SCENARIO_E,LOW,17,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:59:51Z,2026-05-03T03:00:21Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T03:00:39Z,E-LOW-18,SCENARIO_E,LOW,18,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T03:00:39Z,2026-05-03T03:01:09Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T03:01:27Z,E-LOW-19,SCENARIO_E,LOW,19,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T03:01:27Z,2026-05-03T03:01:57Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T03:02:14Z,E-LOW-20,SCENARIO_E,LOW,20,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T03:02:14Z,2026-05-03T03:02:44Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T03:03:02Z,E-MEDIUM-1,SCENARIO_E,MEDIUM,1,mixed_operational_noise,medium,30,http_interval_2s_mqtt_messages_40,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T03:03:02Z,2026-05-03T03:03:32Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T03:03:50Z,E-MEDIUM-2,SCENARIO_E,MEDIUM,2,mixed_operational_noise,medium,30,http_interval_2s_mqtt_messages_40,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T03:03:50Z,2026-05-03T03:04:20Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
