timestamp_utc,noise_uid,scenario,profile,iteration,noise_type,intensity,duration_seconds,frequency,target_services,expected_impact,start_utc,end_utc
2026-05-03T01:14:17Z,E-LOW-1,SCENARIO_E,LOW,1,mixed_operational_noise,low,15,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:14:17Z,2026-05-03T01:14:32Z
2026-05-03T01:14:48Z,E-LOW-2,SCENARIO_E,LOW,2,mixed_operational_noise,low,15,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:14:48Z,2026-05-03T01:15:03Z
2026-05-03T01:15:19Z,E-LOW-3,SCENARIO_E,LOW,3,mixed_operational_noise,low,15,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:15:19Z,2026-05-03T01:15:34Z
2026-05-03T01:15:50Z,E-MEDIUM-1,SCENARIO_E,MEDIUM,1,mixed_operational_noise,medium,15,http_interval_2s_mqtt_messages_40,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:15:50Z,2026-05-03T01:16:05Z
2026-05-03T01:16:22Z,E-MEDIUM-2,SCENARIO_E,MEDIUM,2,mixed_operational_noise,medium,15,http_interval_2s_mqtt_messages_40,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:16:22Z,2026-05-03T01:16:37Z
2026-05-03T01:16:53Z,E-MEDIUM-3,SCENARIO_E,MEDIUM,3,mixed_operational_noise,medium,15,http_interval_2s_mqtt_messages_40,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:16:53Z,2026-05-03T01:17:08Z
2026-05-03T01:17:24Z,E-HIGH-1,SCENARIO_E,HIGH,1,mixed_operational_noise,high,15,http_interval_2s_mqtt_messages_80,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:17:24Z,2026-05-03T01:17:39Z
2026-05-03T01:17:55Z,E-HIGH-2,SCENARIO_E,HIGH,2,mixed_operational_noise,high,15,http_interval_2s_mqtt_messages_80,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:17:55Z,2026-05-03T01:18:10Z
2026-05-03T01:18:27Z,E-HIGH-3,SCENARIO_E,HIGH,3,mixed_operational_noise,high,15,http_interval_2s_mqtt_messages_80,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:18:27Z,2026-05-03T01:18:42Z
